SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME
士林區,6301100,前港里,6301100010,006,6301100010006,前港里6鄰
中山區,6300400,劍潭里,6300400013,003,6300400013003,劍潭里3鄰
中山區,6300400,北安里,6300400042,006,6300400042006,北安里6鄰
士林區,6301100,福中里,6301100009,007,6301100009007,福中里7鄰
內湖區,6301000,西湖里,6301000001,014,6301000001014,西湖里14鄰
內湖區,6301000,麗山里,6301000038,012,6301000038012,麗山里12鄰
內湖區,6301000,金龍里,6301000013,022,6301000013022,金龍里22鄰
內湖區,6301000,金龍里,6301000013,018,6301000013018,金龍里18鄰
內湖區,6301000,金龍里,6301000013,011,6301000013011,金龍里11鄰
內湖區,6301000,金龍里,6301000013,008,6301000013008,金龍里8鄰
內湖區,6301000,金龍里,6301000013,012,6301000013012,金龍里12鄰
士林區,6301100,葫蘆里,6301100017,018,6301100017018,葫蘆里18鄰
內湖區,6301000,湖濱里,6301000010,016,6301000010016,湖濱里16鄰
內湖區,6301000,金龍里,6301000013,013,6301000013013,金龍里13鄰
內湖區,6301000,金龍里,6301000013,015,6301000013015,金龍里15鄰
內湖區,6301000,金龍里,6301000013,023,6301000013023,金龍里23鄰
士林區,6301100,社新里,6301100020,029,6301100020029,社新里29鄰
中山區,6300400,北安里,6300400042,009,6300400042009,北安里9鄰
內湖區,6301000,大湖里,6301000012,004,6301000012004,大湖里4鄰
士林區,6301100,葫東里,6301100018,011,6301100018011,葫東里11鄰
中山區,6300400,北安里,6300400042,004,6300400042004,北安里4鄰
士林區,6301100,葫蘆里,6301100017,019,6301100017019,葫蘆里19鄰
內湖區,6301000,秀湖里,6301000032,024,6301000032024,秀湖里24鄰
內湖區,6301000,大湖里,6301000012,002,6301000012002,大湖里2鄰
內湖區,6301000,金龍里,6301000013,014,6301000013014,金龍里14鄰
內湖區,6301000,西湖里,6301000001,008,6301000001008,西湖里8鄰
內湖區,6301000,西湖里,6301000001,016,6301000001016,西湖里16鄰
內湖區,6301000,西康里,6301000002,002,6301000002002,西康里2鄰
士林區,6301100,葫蘆里,6301100017,020,6301100017020,葫蘆里20鄰
內湖區,6301000,金龍里,6301000013,010,6301000013010,金龍里10鄰
士林區,6301100,葫東里,6301100018,004,6301100018004,葫東里4鄰
內湖區,6301000,秀湖里,6301000032,025,6301000032025,秀湖里25鄰
中山區,6300400,成功里,6300400015,001,6300400015001,成功里1鄰
士林區,6301100,葫蘆里,6301100017,016,6301100017016,葫蘆里16鄰
內湖區,6301000,西康里,6301000002,016,6301000002016,西康里16鄰
內湖區,6301000,西康里,6301000002,004,6301000002004,西康里4鄰
內湖區,6301000,秀湖里,6301000032,014,6301000032014,秀湖里14鄰
內湖區,6301000,秀湖里,6301000032,017,6301000032017,秀湖里17鄰
內湖區,6301000,西湖里,6301000001,022,6301000001022,西湖里22鄰
內湖區,6301000,港華里,6301000008,017,6301000008017,港華里17鄰
士林區,6301100,葫東里,6301100018,012,6301100018012,葫東里12鄰
內湖區,6301000,秀湖里,6301000032,012,6301000032012,秀湖里12鄰
內湖區,6301000,金龍里,6301000013,006,6301000013006,金龍里6鄰
士林區,6301100,福中里,6301100009,006,6301100009006,福中里6鄰
士林區,6301100,福中里,6301100009,005,6301100009005,福中里5鄰
中山區,6300400,大直里,6300400014,035,6300400014035,大直里35鄰
士林區,6301100,葫東里,6301100018,005,6301100018005,葫東里5鄰
士林區,6301100,福中里,6301100009,011,6301100009011,福中里11鄰
內湖區,6301000,秀湖里,6301000032,016,6301000032016,秀湖里16鄰
中山區,6300400,北安里,6300400042,003,6300400042003,北安里3鄰
內湖區,6301000,金龍里,6301000013,007,6301000013007,金龍里7鄰
中山區,6300400,成功里,6300400015,012,6300400015012,成功里12鄰
中山區,6300400,北安里,6300400042,011,6300400042011,北安里11鄰
內湖區,6301000,秀湖里,6301000032,013,6301000032013,秀湖里13鄰
內湖區,6301000,內湖里,6301000009,006,6301000009006,內湖里6鄰
中山區,6300400,大直里,6300400014,003,6300400014003,大直里3鄰
內湖區,6301000,秀湖里,6301000032,015,6301000032015,秀湖里15鄰
士林區,6301100,葫蘆里,6301100017,010,6301100017010,葫蘆里10鄰
內湖區,6301000,西湖里,6301000001,029,6301000001029,西湖里29鄰
中山區,6300400,成功里,6300400015,018,6300400015018,成功里18鄰
內湖區,6301000,秀湖里,6301000032,001,6301000032001,秀湖里1鄰
內湖區,6301000,港華里,6301000008,016,6301000008016,港華里16鄰
中山區,6300400,大直里,6300400014,014,6300400014014,大直里14鄰
士林區,6301100,葫蘆里,6301100017,022,6301100017022,葫蘆里22鄰
士林區,6301100,葫蘆里,6301100017,014,6301100017014,葫蘆里14鄰
