房屋標示,建物門牌
松山區西松段二小段2344建號（含共同使用部分）,松山區南京東路五段66巷22弄32號4樓
中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,中山區民生東路二段1號10樓之2
中山區吉林段三小段5421建號（含共同使用部分及停車位編號80）,中山區民生東路二段1號10樓之3
萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,萬華區萬大路344巷36號13樓之1
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
士林區福林段二小段20355建號（含共同使用部分及停車位編號30）,士林區福林路70號4樓
中山區吉林段四小段5514建號(含共同使用部分及停車位編號8、29、30),中山區新生北路二段47號3樓
中山區吉林段四小段5481建號(含共同使用部分及停車位編號5、6、7),中山區新生北路二段49號3樓
中山區吉林段四小段5464建號(含共同使用部分及停車位編號3、4),中山區新生北路二段53之3號3樓
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：144)
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：145)
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：146)
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：147)
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：148)
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：169)
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,中山區民生東路二段1號10樓之2
中山區吉林段三小段5421建號（含共同使用部分及停車位編號80）,中山區民生東路二段1號10樓之3
松山區西松段二小段2344建號（含共同使用部分）,松山區南京東路五段66巷22弄32號4樓
萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,萬華區萬大路344巷36號13樓之1
中山區吉林段四小段5514建號(含共同使用部分及停車位編號8、29、30),中山區新生北路二段47號3樓
中山區吉林段四小段5481建號(含共同使用部分及停車位編號5、6、7),中山區新生北路二段49號3樓
中山區吉林段四小段5464建號(含共同使用部分及停車位編號3、4),中山區新生北路二段53之3號3樓
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：145)
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：147)
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：148)
中山區吉林段四小段5423建號,中山區新生北路二段53之2號(車位編號：169)
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,中山區民生東路二段1號10樓之2
中山區吉林段三小段5421建號（含共同使用部分及停車位編號80）,中山區民生東路二段1號10樓之3
萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,萬華區萬大路344巷36號13樓之1
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,中山區民生東路二段1號10樓之2
萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,萬華區萬大路344巷36號13樓之1
中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,中山區民生東路二段1號10樓之2
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,中山區民生東路二段1號10樓之2
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
中正區河堤段2103建號(含共同使用部分及停車位編號B2-142),中正區羅斯福路三段2號22樓之2
中正區河堤段2105建號(含共同使用部分及停車位編號B2-143),中正區羅斯福路三段2號22樓
中正區河堤段2103建號(含共同使用部分及停車位編號B2-142),中正區羅斯福路三段2號22樓之2
中正區河堤段2105建號(含共同使用部分及停車位編號B2-143),中正區羅斯福路三段2號22樓
新北市永和區國光段1、1081建號,永和區豫溪街74巷7弄9、11號
新北市永和區大新段724、725建號,永和區自強街8巷5弄2、6號
中正區河堤段2103建號(含共同使用部分及停車位編號B2-142),中正區羅斯福路三段2號22樓之2
中正區河堤段2105建號(含共同使用部分及停車位編號B2-143),中正區羅斯福路三段2號22樓
新北市永和區國光段1、1081建號,永和區豫溪街74巷7弄9、11號
新北市永和區中興段17建號,永和區中興街84巷2號
中正區福和段二小段3448建號(含共同使用部分及停車位編號B4-S006),中正區水源路37之2號3樓之2
中正區福和段二小段3449建號(含共同使用部分及停車位編號B4-L002),中正區水源路37之2號4樓之2
中正區福和段二小段3450建號(含共同使用部分及停車位編號B4-S004),中正區水源路37號4樓
中正區福和段二小段3448建號(含共同使用部分及停車位編號B4-S006),中正區水源路37之2號3樓之2
中正區福和段二小段3449建號(含共同使用部分及停車位編號B4-L002),中正區水源路37之2號4樓之2
中正區河堤段2103建號(含共同使用部分及停車位編號B2-142),中正區羅斯福路三段2號22樓之2
中正區河堤段2105建號(含共同使用部分及停車位編號B2-143),中正區羅斯福路三段2號22樓
中正區河堤段2103建號(含共同使用部分及停車位編號B2-142),中正區羅斯福路三段2號22樓之2
中正區河堤段2105建號(含共同使用部分及停車位編號B2-143),中正區羅斯福路三段2號22樓
文山區公訓段二小段1425建號(含一席獨立產權停車位，建號1694，編號B3-106),文山區辛亥路4段209巷26號12樓
中正區河堤段2103建號(含共同使用部分及停車位編號B2-142),中正區羅斯福路三段2號22樓之2
松山區西松段二小段2344建號,松山區南京東路5段66巷22弄32號4樓
"臺北市中正區河堤段六小段2525建號(含一席獨立產權停車位，2603建號，編號B3-57)
",中正區牯嶺街146號11樓之2
"臺北市中正區河堤段六小段2526建號(含一席獨立產權停車位，2603建號，編號B4-21)
",中正區牯嶺街146號11樓之3
"臺北市中正區河堤段六小段2525建號(含一席獨立產權停車位，2603建號，編號B3-57)
",中正區牯嶺街146號11樓之2
